name,total_downloads,daily_downloads
actiontext-syntax-highlighter,1365,5
action_throttler,9261,0
actiontimer,34056,0
ActionTimer,95147,0
action_tracer,35928,150
action_tracker,43743,0
action_tracker_client,12833,0
action_tree,25581,0
action_ui,1791,0
actionverb_s3_direct_upload,67558,0
actionversion,3326,0
actionview,254351753,57189
actionview-component,273997,15
actionview-component-live,3392,0
actionview-consistent_fallback,2539,0
actionview-data,14327,0
actionview-encoded_mail_to,891615,46
actionview-helpers-auto_tag_helper,9868,0
actionview-link_to_blank,50751,0
actionview-link_to_block,11377,0
actionview-pathfinder,9834,0
actionview-path_hints,9948,0
actionview_precompiler,116586,35
actionview-rev_manifest,11772,0
actionview_template_inheritance,8934,0
actionview_template_safe_locals,1812,0
actionwebservice,370685,7
action_widget,102389,1
actir,56842,0
activa,87625,0
activable,14401,0
activatable,8523,0
activate-admin,26738,0
activated_ui,6596,0
activate_my_directory,6139,0
activator,22410,0
Active,278236,0
active_access,8188,0
active-access,4229,0
active_accountability_merchant,1816,0
active_acl,17843,0
activeaclplus,30846,0
active_action,2896,0
active_activity_api,2691,0
active_adapter,1809,1
activeadmin,13647679,2106
activeadmin_ace_editor,6049,4
activeadmin_active_resource,8014,0
active_admin-acts_as_list,56684,0
active_admin_acts_as_list_integration,8144,0
activeadmin_addons,2312617,449
activeadmin_addons_rails6,780,2
active_admin-advanced_create_another,3095,0
activeadmin-ajax_filter,157765,11
activeadmin_ancestry_view,6526,1
active_admin_api_only_initializer,1082,0
activeadmin_associable,5312,0
active_admin_associations,1393,0
activeadmin_associations,4033,0
activeadmin_async_export,22262,0
activeadmin-async_exporter,686,0
activeadmin-async_panel,166261,16
activeadmin-audit,7375,0
active_admin_auto_select,10937,0
active_admin-awesome_nested_set,89105,0
activeadmin-axlsx,45298,1
active_admin_bbs,5619,0
activeadmin_blaze_theme,75845,6
activeadmin-blog,38452,0
activeadmin-cancan,105349,52
active_admin-cep_auto_complete,7924,0
activeadmin-chat,1008,0
activeadmin_ckeditor,7694,0
activeadmin-ckeditor,61047,1
activeadmin_cms,28331,0
